Fidelity,a2,a1
0.008368441846891592,-1.0,-1.0
0.004036951973956295,-1.0,-0.9797979797979798
0.0011245350412400015,-1.0,-0.9595959595959596
3.7263617262447877e-06,-1.0,-0.9393939393939394
0.0009653253451272833,-1.0,-0.9191919191919192
0.004195215044252014,-1.0,-0.898989898989899
0.009756027334855219,-1.0,-0.8787878787878788
0.017575020266292922,-1.0,-0.8585858585858586
0.02743924845659359,-1.0,-0.8383838383838383
0.03899874656460417,-1.0,-0.8181818181818181
0.051778027115429844,-1.0,-0.797979797979798
0.06519573845761216,-1.0,-0.7777777777777778
0.07859186041507313,-1.0,-0.7575757575757576
0.09126135988193641,-1.0,-0.7373737373737373
0.10249281202465582,-1.0,-0.7171717171717171
0.11161013951300222,-1.0,-0.696969696969697
0.11801535428099008,-1.0,-0.6767676767676767
0.12123002177435163,-1.0,-0.6565656565656566
0.12093311948022192,-1.0,-0.6363636363636364
0.11699303684958648,-1.0,-0.6161616161616161
0.1094916631250271,-1.0,-0.5959595959595959
0.09873882698170468,-1.0,-0.5757575757575757
0.08527577461830702,-1.0,-0.5555555555555556
0.06986688227202174,-1.0,-0.5353535353535352
0.05347937113321116,-1.0,-0.5151515151515151
0.037251399287622784,-1.0,-0.4949494949494949
0.02244951593190907,-1.0,-0.4747474747474747
0.010417045911463328,-1.0,-0.4545454545454545
0.0025154964120937193,-1.0,-0.43434343434343425
6.151344295460357e-05,-1.0,-0.41414141414141414
0.004262238462259912,-1.0,-0.3939393939393939
0.016152105262566788,-1.0,-0.3737373737373737
0.03653416061452962,-1.0,-0.3535353535353535
0.06592888299988595,-1.0,-0.33333333333333326
0.10453321361953916,-1.0,-0.31313131313131304
0.1521921121259124,-1.0,-0.2929292929292928
0.2083844230548879,-1.0,-0.2727272727272727
0.2722242113036047,-1.0,-0.2525252525252525
0.3424780254165343,-1.0,-0.23232323232323226
0.41759780930107065,-1.0,-0.21212121212121204
0.4957684422276825,-1.0,-0.19191919191919182
0.5749681802284178,-1.0,-0.1717171717171716
0.6530396347804597,-1.0,-0.1515151515151515
0.7277683894376973,-1.0,-0.13131313131313127
0.7969659496382213,-1.0,-0.11111111111111105
0.8585534668752045,-1.0,-0.09090909090909083
0.9106425900306868,-1.0,-0.07070707070707061
0.9516098800500061,-1.0,-0.050505050505050386
0.9801614768682093,-1.0,-0.030303030303030276
0.9953851187126985,-1.0,-0.010101010101010055
0.9967871647557591,-1.0,0.010101010101010166
0.984312936679339,-1.0,0.030303030303030498
0.9583494413736078,-1.0,0.05050505050505061
0.9197103298641539,-1.0,0.07070707070707072
0.8696037484128066,-1.0,0.09090909090909105
0.809584507877703,-1.0,0.11111111111111116
0.7414926996723277,-1.0,0.1313131313131315
0.6673814872445872,-1.0,0.1515151515151516
0.5894372722154279,-1.0,0.1717171717171717
0.5098957520203281,-1.0,0.19191919191919204
0.4309575365734538,-1.0,0.21212121212121215
0.35470696895584847,-1.0,0.2323232323232325
0.2830376018653677,-1.0,0.2525252525252526
0.21758742845182702,-1.0,0.27272727272727293
0.15968647192910487,-1.0,0.29292929292929304
0.11031872857055673,-1.0,0.31313131313131315
0.07009976439774515,-1.0,0.3333333333333335
0.039270521960932364,-1.0,0.3535353535353536
0.017707137022166867,-1.0,0.3737373737373739
0.004945832770799665,-1.0,0.39393939393939403
0.00022128676538849098,-1.0,0.41414141414141437
0.002516284921942438,-1.0,0.4343434343434345
0.010620014276415962,-1.0,0.4545454545454546
0.02319202227156495,-1.0,0.4747474747474749
0.0388286979560156,-1.0,0.49494949494949503
0.05612911485800069,-1.0,0.5151515151515154
0.07375721351792693,-1.0,0.5353535353535355
0.09049758312052171,-1.0,0.5555555555555556
0.10530250871110718,-1.0,0.5757575757575759
0.11732845947244448,-1.0,0.595959595959596
0.12596077618762944,-1.0,0.6161616161616164
0.1308259409384123,-1.0,0.6363636363636365
0.13179144650751748,-1.0,0.6565656565656568
0.1289538944272158,-1.0,0.6767676767676769
0.12261650872664068,-1.0,0.696969696969697
0.11325773032574644,-1.0,0.7171717171717173
0.10149293274242267,-1.0,0.7373737373737375
0.08803155728409676,-1.0,0.7575757575757578
0.07363209577208757,-1.0,0.7777777777777779
0.05905734863436414,-1.0,0.7979797979797982
0.045032260341730614,-1.0,0.8181818181818183
0.032206393580770126,-1.0,0.8383838383838385
0.02112276491083005,-1.0,0.8585858585858588
0.012194349282478572,-1.0,0.8787878787878789
0.005689093453204848,-1.0,0.8989898989898992
0.0017237857607132305,-1.0,0.9191919191919193
0.00026663913241055246,-1.0,0.9393939393939394
0.0011479818536031573,-1.0,0.9595959595959598
0.004078040330996305,-1.0,0.9797979797979799
0.008670460104443875,-1.0,1.0
0.004036951973956295,-0.9797979797979798,-1.0
0.0012005692726987877,-0.9797979797979798,-0.9797979797979798
1.6968722509183942e-05,-0.9797979797979798,-0.9595959595959596
0.0007648233021366103,-0.9797979797979798,-0.9393939393939394
0.0036297069433000122,-0.9797979797979798,-0.9191919191919192
0.008686798042920078,-0.9797979797979798,-0.898989898989899
0.0158889039586137,-0.9797979797979798,-0.8787878787878788
0.025060812117013078,-0.9797979797979798,-0.8585858585858586
0.03590067387347411,-0.9797979797979798,-0.8383838383838383
0.04798877427439097,-0.9797979797979798,-0.8181818181818181
0.0608036515259845,-0.9797979797979798,-0.797979797979798
0.07374512404672406,-0.9797979797979798,-0.7777777777777778
0.08616338190279833,-0.9797979797979798,-0.7575757575757576
0.09739292515615748,-0.9797979797979798,-0.7373737373737373
0.10678980550244771,-0.9797979797979798,-0.7171717171717171
0.11377036902386857,-0.9797979797979798,-0.696969696969697
0.11784952347104384,-0.9797979797979798,-0.6767676767676767
0.11867647583406074,-0.9797979797979798,-0.6565656565656566
0.11606591295586743,-0.9797979797979798,-0.6363636363636364
0.11002273217884982,-0.9797979797979798,-0.6161616161616161
0.10075866750597308,-0.9797979797979798,-0.5959595959595959
0.08869949091575671,-0.9797979797979798,-0.5757575757575757
0.07448188441070666,-0.9797979797979798,-0.5555555555555556
0.05893955750260268,-0.9797979797979798,-0.5353535353535352
0.0430787046826158,-0.9797979797979798,-0.5151515151515151
0.028043432739463615,-0.9797979797979798,-0.4949494949494949
0.015072311786259996,-0.9797979797979798,-0.4747474747474747
0.00544768956839461,-0.9797979797979798,-0.4545454545454545
0.00043983030189809793,-0.9797979797979798,-0.43434343434343425
0.0012482737693152422,-0.9797979797979798,-0.41414141414141414
0.008943038354920888,-0.9797979797979798,-0.3939393939393939
0.024408398734257587,-0.9797979797979798,-0.3737373737373737
0.04829194641676562,-0.9797979797979798,-0.3535353535353535
0.08096148698093225,-0.9797979797979798,-0.33333333333333326
0.12247204592314422,-0.9797979797979798,-0.31313131313131304
0.17254485633428462,-0.9797979797979798,-0.2929292929292928
0.23055970294891867,-0.9797979797979798,-0.2727272727272727
0.29556142061633994,-0.9797979797979798,-0.2525252525252525
0.36628071733279854,-0.9797979797979798,-0.23232323232323226
0.44116884207137513,-0.9797979797979798,-0.21212121212121204
0.5184449767427379,-0.9797979797979798,-0.19191919191919182
0.5961546307431651,-0.9797979797979798,-0.1717171717171716
0.6722367851992948,-0.9797979797979798,-0.1515151515151515
0.7445970986860396,-0.9797979797979798,-0.13131313131313127
0.8111841689803725,-0.9797979797979798,-0.11111111111111105
0.8700656628978667,-0.9797979797979798,-0.09090909090909083
0.9195010886141735,-0.9797979797979798,-0.07070707070707061
0.9580080953079482,-0.9797979797979798,-0.050505050505050386
0.9844194395063085,-0.9797979797979798,-0.030303030303030276
0.9979281451734121,-0.9797979797979798,-0.010101010101010055
0.9981188878419865,-0.9797979797979798,0.010101010101010166
0.9849842287489827,-0.9797979797979798,0.030303030303030498
0.9589249852476533,-0.9797979797979798,0.05050505050505061
0.9207347177822998,-0.9797979797979798,0.07070707070707072
0.871569008811087,-0.9797979797979798,0.09090909090909105
0.8129008725680152,-0.9797979797979798,0.11111111111111116
0.7464642353406847,-0.9797979797979798,0.1313131313131315
0.6741879359655982,-0.9797979797979798,0.1515151515151516
0.5981230919296667,-0.9797979797979798,0.1717171717171717
0.5203669398501305,-0.9797979797979798,0.19191919191919204
0.44298637869506513,-0.9797979797979798,0.21212121212121215
0.3679444154232296,-0.9797979797979798,0.2323232323232325
0.2970325384746287,-0.9797979797979798,0.2525252525252526
0.2318117344474606,-0.9797979797979798,0.27272727272727293
0.1735644335408919,-0.9797979797979798,0.29292929292929304
0.12325914172951725,-0.9797979797979798,0.31313131313131315
0.08152891845158404,-0.9797979797979798,0.3333333333333335
0.04866421726192109,-0.9797979797979798,0.3535353535353536
0.024619954488087615,-0.9797979797979798,0.3737373737373739
0.009036038583607072,-0.9797979797979798,0.39393939393939403
